                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6828,                 3.2316,                 1.9247,                0.79001,                0.57143,                0.64925,                0.28089,                 2.0867,                 1.7634,                 1.6894,               0.066877,             3.3156e-05,             3.3156e-05
                      2,                 1.9864,                 1.5996,                 1.4742,                0.90166,                0.82226,                0.89137,                0.44841,                 1.7384,                 1.0809,                  1.424,               0.033577,             6.6423e-05,             6.6423e-05
                      3,                 1.7315,                 1.0775,                 1.3702,                0.93685,                0.91184,                0.94702,                0.49148,                 1.6536,                0.81847,                 1.3397,             0.00027693,             9.9623e-05,             9.9623e-05
                      4,                 1.6506,                0.87484,                 1.3285,                0.95158,                0.94678,                0.96928,                0.51647,                 1.5954,                0.68495,                 1.3464,               9.97e-05,               9.97e-05,               9.97e-05
                      5,                  1.605,                0.77257,                 1.3319,                0.96313,                0.95681,                0.97149,                0.52332,                 1.5461,                0.61558,                 1.3405,               9.96e-05,               9.96e-05,               9.96e-05
                      6,                 1.5814,                0.72928,                 1.3212,                  0.978,                0.95996,                0.98355,                0.54086,                 1.5409,                0.56866,                 1.3468,               9.95e-05,               9.95e-05,               9.95e-05
                      7,                 1.5293,                0.68227,                 1.3042,                0.97366,                0.96512,                0.98146,                0.54784,                 1.5149,                0.54093,                 1.3445,               9.94e-05,               9.94e-05,               9.94e-05
                      8,                 1.5527,                0.66106,                 1.3144,                 0.9717,                0.96971,                 0.9812,                0.54678,                 1.5074,                0.52861,                 1.3453,               9.93e-05,               9.93e-05,               9.93e-05
                      9,                 1.5252,                0.65071,                 1.3032,                0.97665,                0.97269,                0.98217,                0.54516,                 1.5119,                0.50554,                 1.3398,               9.92e-05,               9.92e-05,               9.92e-05
                     10,                 1.5093,                0.62078,                 1.2996,                0.97668,                 0.9742,                0.98415,                0.55796,                 1.4846,                0.49479,                 1.3347,               9.91e-05,               9.91e-05,               9.91e-05
                     11,                 1.5125,                0.61721,                 1.2981,                0.98137,                0.97508,                0.98562,                0.55395,                 1.5005,                 0.4853,                 1.3544,                9.9e-05,                9.9e-05,                9.9e-05
                     12,                 1.5032,                0.59902,                 1.2891,                0.98097,                0.98007,                0.98678,                0.55985,                 1.4909,                0.46976,                 1.3399,               9.89e-05,               9.89e-05,               9.89e-05
                     13,                 1.5032,                0.59146,                 1.2969,                0.97995,                 0.9743,                0.98451,                0.56213,                 1.4809,                0.47152,                 1.3306,               9.88e-05,               9.88e-05,               9.88e-05
                     14,                 1.4706,                0.56788,                 1.2717,                0.97866,                0.97841,                0.98533,                0.56862,                 1.4687,                0.46028,                 1.3145,               9.87e-05,               9.87e-05,               9.87e-05
                     15,                 1.4834,                0.58665,                 1.2659,                0.97847,                0.98131,                 0.9863,                 0.5607,                 1.4955,                 0.4585,                 1.3289,               9.86e-05,               9.86e-05,               9.86e-05
                     16,                 1.4751,                0.56688,                 1.2753,                0.97509,                0.97841,                0.98364,                0.57721,                 1.4629,                0.45257,                 1.3469,               9.85e-05,               9.85e-05,               9.85e-05
                     17,                 1.4673,                0.56785,                 1.2802,                   0.98,                0.97659,                0.98657,                0.57258,                 1.4721,                0.45345,                 1.3534,               9.84e-05,               9.84e-05,               9.84e-05
                     18,                 1.4533,                0.56026,                 1.2733,                0.98326,                0.97559,                0.98738,                0.57744,                 1.4762,                0.45371,                 1.3414,               9.83e-05,               9.83e-05,               9.83e-05
                     19,                 1.4601,                0.54609,                 1.2743,                0.98101,                0.98007,                0.98755,                0.56537,                 1.4914,                0.44958,                 1.3496,               9.82e-05,               9.82e-05,               9.82e-05
                     20,                 1.4645,                0.56089,                 1.2744,                0.98184,                0.97674,                0.98508,                0.56921,                 1.4876,                0.44394,                 1.3379,               9.81e-05,               9.81e-05,               9.81e-05
                     21,                 1.4648,                 0.5558,                 1.2754,                0.98104,                0.98007,                0.98517,                0.57673,                 1.4822,                0.44529,                 1.3454,                9.8e-05,                9.8e-05,                9.8e-05
                     22,                 1.4609,                0.55191,                  1.277,                0.98169,                0.97965,                0.98518,                0.57352,                 1.4773,                0.44239,                 1.3438,               9.79e-05,               9.79e-05,               9.79e-05
                     23,                 1.4596,                0.54462,                 1.2732,                  0.985,                0.98145,                0.98931,                0.58229,                 1.4662,                0.43669,                 1.3406,               9.78e-05,               9.78e-05,               9.78e-05
                     24,                 1.4412,                 0.5411,                 1.2637,                0.98121,                0.98007,                0.98641,                0.57603,                 1.4706,                0.43508,                 1.3507,               9.77e-05,               9.77e-05,               9.77e-05
                     25,                  1.452,                0.53867,                 1.2597,                0.97984,                0.97841,                 0.9864,                 0.5762,                 1.4669,                0.43171,                 1.3254,               9.76e-05,               9.76e-05,               9.76e-05
                     26,                 1.4514,                0.53878,                 1.2668,                0.98608,                0.98339,                 0.9882,                 0.5833,                 1.4689,                0.43374,                 1.3345,               9.75e-05,               9.75e-05,               9.75e-05
                     27,                  1.435,                0.53584,                 1.2669,                0.98442,                0.98173,                0.98676,                0.57454,                 1.4871,                0.43137,                 1.3359,               9.74e-05,               9.74e-05,               9.74e-05
                     28,                 1.4522,                0.53068,                 1.2618,                0.98786,                0.98505,                0.99123,                0.58433,                 1.4797,                 0.4282,                 1.3279,               9.73e-05,               9.73e-05,               9.73e-05
                     29,                 1.4357,                0.53193,                 1.2532,                0.98666,                0.98339,                0.99104,                0.58082,                 1.4916,                   0.43,                 1.3221,               9.72e-05,               9.72e-05,               9.72e-05
                     30,                 1.4472,                0.53931,                 1.2668,                0.98684,                0.98339,                0.98864,                0.58826,                 1.4585,                0.42209,                 1.3358,               9.71e-05,               9.71e-05,               9.71e-05
                     31,                 1.4339,                0.52808,                 1.2612,                0.99083,                0.98671,                0.99406,                0.58691,                 1.4716,                0.42315,                 1.3311,                9.7e-05,                9.7e-05,                9.7e-05
                     32,                  1.449,                0.53233,                 1.2631,                0.98831,                0.98294,                0.98751,                0.58459,                 1.4561,                0.42027,                 1.3411,               9.69e-05,               9.69e-05,               9.69e-05
                     33,                 1.4284,                0.51696,                  1.273,                0.98302,                0.98339,                0.99039,                 0.5866,                 1.4688,                0.42418,                 1.3512,               9.68e-05,               9.68e-05,               9.68e-05
                     34,                 1.4267,                0.51682,                 1.2507,                0.99107,                0.98505,                0.99282,                0.59361,                 1.4547,                0.42241,                 1.3207,               9.67e-05,               9.67e-05,               9.67e-05
                     35,                 1.4138,                0.51407,                 1.2468,                0.98655,                0.98505,                 0.9925,                0.59512,                  1.451,                 0.4243,                 1.3255,               9.66e-05,               9.66e-05,               9.66e-05
                     36,                 1.4289,                0.52314,                 1.2512,                0.98755,                0.98339,                0.99104,                0.59293,                 1.4591,                 0.4234,                 1.3149,               9.65e-05,               9.65e-05,               9.65e-05
                     37,                 1.4141,                0.51863,                  1.241,                0.98721,                0.98339,                0.99099,                 0.5931,                 1.4642,                 0.4232,                 1.3136,               9.64e-05,               9.64e-05,               9.64e-05
                     38,                 1.4354,                0.52196,                 1.2528,                0.98998,                0.98502,                0.99072,                0.59012,                 1.4612,                 0.4275,                 1.3546,               9.63e-05,               9.63e-05,               9.63e-05
